TOP.640a2c07.000dc385	START
TOP.640a2e27.00023322	user_options->veracrypt_pim_stop	485
TOP.640a2e27.00023322	user_options->version	0
TOP.640a2e27.00023322	user_options->workload_profile	2
TOP.640a2e27.00023322	user_options->brain_client	0
TOP.640a2e27.00023322	user_options->brain_client_features	2
TOP.640a2e27.00023322	user_options->brain_server	0
TOP.640a2e27.00023322	user_options->brain_server_timer	300
TOP.640a2e27.00023322	user_options->brain_port	6863
TOP.640a2e27.00023322	user_options->brain_session	0
TOP.640a2e27.00023322	proc_start	1678388775
TOP.640a2e27.00023322	proc_stop	1678388775
TOP.640a2e27.00023322	STOP
TOP.640a2e60.0009290c	START
TOP.640a2e60.0009290c	folder_config->cwd	C:\Users\MARIO\Desktop\RacunalnaForenzika\Labovi\lab1\hashcat-6.2.6
TOP.640a2e60.0009290c	folder_config->install_dir	.
TOP.640a2e60.0009290c	folder_config->profile_dir	.
TOP.640a2e60.0009290c	folder_config->session_dir	.
TOP.640a2e60.0009290c	folder_config->shared_dir	.
TOP.640a2e60.0009290c	user_options->encoding_from	utf-8
TOP.640a2e60.0009290c	user_options->encoding_to	utf-8
TOP.640a2e60.0009290c	user_options->rule_buf_l	:
TOP.640a2e60.0009290c	user_options->rule_buf_r	:
TOP.640a2e60.0009290c	user_options->session	hashcat
TOP.640a2e60.0009290c	user_options->separator	:
TOP.640a2e60.0009290c	user_options->limit	0
TOP.640a2e60.0009290c	user_options->skip	0
TOP.640a2e60.0009290c	user_options->attack_mode	3
TOP.640a2e60.0009290c	user_options->benchmark	0
TOP.640a2e60.0009290c	user_options->benchmark_all	0
TOP.640a2e60.0009290c	user_options->bitmap_max	18
TOP.640a2e60.0009290c	user_options->bitmap_min	16
TOP.640a2e60.0009290c	user_options->debug_mode	0
TOP.640a2e60.0009290c	user_options->hash_info	0
TOP.640a2e60.0009290c	user_options->force	0
TOP.640a2e60.0009290c	user_options->hwmon_disable	0
TOP.640a2e60.0009290c	user_options->hwmon_temp_abort	90
TOP.640a2e60.0009290c	user_options->hash_mode	22100
TOP.640a2e60.0009290c	user_options->hex_charset	0
TOP.640a2e60.0009290c	user_options->hex_salt	0
TOP.640a2e60.0009290c	user_options->hex_wordlist	0
TOP.640a2e60.0009290c	user_options->hook_threads	8
